accountID,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,budget,target
Project01,2017,0,320.4,1154.69,1540.24,1554.98,975.51,1238.19,964.79,1091.99,2179.7,1028.49,258.54,13000,1
Project01,2018,1747.41,1301.66,954.36,1635.33,2705.71,2008.86,642.26,511.63,323.02,-97.36,322.43,1227.21,13000,0
Project01,2019,356.94,1189.87,2293.91,1586.51,1507.18,2776.4,2776.42,2141.79,576.77,0,1441.99,1153.56,13000,0
Project02,2017,0,0,1230.38,254.69,1595.24,1402.3,1906.25,1210.32,1361.2,1355.53,1411.68,1584.92,10000,0
Project02,2018,0,0,0,1234.44,1999.61,0,1879.38,2255.88,2444.51,2034.57,890.89,0,10000,0
Project02,2019,0,0,131.8,131.94,283.45,680.48,583.65,1041.08,1094.86,848.69,1864.74,2356.97,10000,1
Project03,2017,0,80.1,644.88,200.25,360.45,160.2,273.43,160.2,543.11,320.4,0,0,3000,1
Project03,2018,360.45,400.5,0,200.25,160.2,80.1,240.3,280.35,160.2,200.25,160.2,1161.48,3000,0
Project03,2019,317.3,237.96,317.28,396.61,555.28,0,0,0,0,329.59,988.8,-659.2,3000,1
Project04,2017,0,400.51,2336.36,759.38,907.54,669.28,1195.96,2111.1,3379.38,1860.96,1397.29,2754.55,27000,1
Project04,2018,1422.94,1102.01,871.71,988.89,1068.77,951.72,1370.22,978.28,1140.25,2109.65,2659.99,1187.3,27000,1
Project04,2019,516.73,1587.92,2105.54,1351.06,954.47,835.69,1075.1,477.76,897.35,983.68,2910.13,1607.48,27000,1
Project05,2017,5541.2,3429.52,20.28,0,0,0,0,473.22,507.03,625.19,460.62,513.6,15000,1
Project05,2018,5554.99,2629.14,404.48,493.8,191.06,0,0,0,0,0,0,3777.92,15000,1
Project05,2019,1366.63,937.81,1717.04,847.12,802.17,1201.4,829.16,932.08,2216.59,1596.86,1543.78,1419.44,15000,0
Project06,2017,3535.1,2303.18,3086.29,0,0,0,0,473.22,502.28,620.39,444.61,513.6,15000,1
Project06,2018,2412.69,1801.07,681.22,1123.15,830.16,829.81,938.87,432.29,455.12,523.69,526.32,3815.23,15000,1
Project06,2019,1235.54,2272.64,3466.29,436.62,850.65,1060.98,994.05,873.16,1255.75,671.23,745.97,1531.3,15000,0
Project07,2017,3618.74,1765.84,-115.49,0,0,-59.39,0,473.22,490.86,620.39,444.61,988.67,12000,1
Project07,2018,3284.89,2641.6,425.78,672.2,191.06,0,0,431.43,455.12,523.69,526.32,0,12000,1
Project07,2019,819.97,0,0,848.55,802.17,1201.4,829.16,932.08,2238.76,1258.57,1510,2033.71,12000,0
Project08,2019,0,0,0,66.46,161.76,267.61,223.24,242.12,473.99,296.58,400.3,604.15,2000,0
Project09,2019,0,0,0,66.46,161.76,267.61,223.24,242.12,385.34,274.53,442.05,671.19,2000,0
Project10,2018,0,0,38.47,58.23,76.96,210.75,244.93,246.78,276.2,289.12,283.34,38.08,2000,1
Project10,2019,0,0,131.8,131.94,162.09,267.61,223.24,197.74,274.55,164.12,122.41,153.33,2000,1
Project11,2018,0,37.42,38.47,58.23,76.96,399.46,546.58,489.97,500.16,453.93,2604.85,1969.02,8000,1
Project11,2019,-0.05,0,131.8,131.94,222.77,474.05,403.44,375.29,606.95,1104.02,1811.03,2061.96,8000,1
Project12,2018,0,0,0,4457.9,4668.58,4667.74,5862.39,4725.95,-1566.66,0,0,0,25000,1
Project12,2019,0,0,0,0,0,3079.03,3349.99,4463.02,6019.68,4324.82,4494.47,5305.66,25000,0
Project13,2018,0,0,0,0,0,0,0,0,5726.41,4594.94,4128.41,3158.42,25000,1
Project13,2019,4833.45,3584.14,3845.94,2445.36,2445.06,0,0,0,0,0,0,0,25000,1
Project14,2018,17258.35,13907.51,8818.25,11996.68,7014.91,7169.5,7896.63,8774.16,8811.88,16838.58,15691.16,26196.6,150400,1
Project14,2019,16481.26,11839.13,10880.37,3037.9,11762.64,26681.07,14052.71,7682.27,16450.07,13216.05,11391.02,16299.72,160000,1
Project15,2017,2649.15,4339.73,1241.6,2501.69,3279.2,6308.03,3772.65,3392.68,1557.65,1374.93,1283.46,1287.78,29000,0
Project15,2018,258.97,4224.01,2408.03,1733.67,1747.55,2269.49,2403.37,3558.51,3257.15,3475.79,3360.53,3195.04,29000,0
Project15,2019,2325,2325.02,2603.04,2603.15,2467.01,2795.25,2025.01,2136,2047,2047,2044,2044,29000,1
Project16,2017,30889.44,15496.08,11070.15,12064.85,16035.68,19608.84,21306.35,10914.77,13833.79,23298.17,12222.76,13024.5,200000,1
Project16,2018,15865.02,10410.05,12917.12,13817.39,8559.47,14294.98,21419.15,13208.26,15768.31,21801.73,11972.76,26096.63,186000,0
Project16,2019,10713.52,9455.14,19755.77,8458.33,10883.55,24497.81,16956.93,9144.64,16896.45,1749.34,18801.28,34143.34,200000,1
Project17,2017,0,0,0,0,0,0,0,0,0,772.91,2055.18,337.44,3222,1
Project17,2018,163.47,0,0,0,0,0,253.28,565.31,0,204.97,197.63,0,3222,1
Project17,2019,0,1486.6,846.77,-154.27,0,0,0,170.79,206.25,42.59,96.69,137.22,3222,1
Project18,2017,2077.23,295.37,1459.07,271.51,531.07,953.29,1349.32,984.89,1225.29,2547.74,699.7,493.42,13000,1
Project18,2018,963.71,742.17,990.39,1104.56,615.41,848.87,752.82,402.03,168.26,214.92,333.62,0,7200,1
Project18,2019,0,0,1212.9,313.4,631.31,1028.07,508,683.16,427.87,106.51,241.73,1618.54,13000,1
Project19,2017,120.08,72.41,0,0,0,1466.16,792.39,915.58,1176.56,1550.89,1598.02,306.74,7100,0
Project19,2018,0,0,0,0,0,0,0,0,1441.15,1988.93,1390.5,2261.1,7100,1
Project19,2019,479.76,-781.38,0,0,0,0,0,0,0,0,0,0,0,1
Project20,2017,2962.03,1276.96,1836.29,3782.13,4416.5,2921.85,19231.44,3123.51,8237.63,13133.67,5337.35,13940.21,60000,0
Project20,2018,5600.97,3711.06,4835.48,5428.5,3202.56,4246.28,5439.21,4669.56,4067.55,2762.45,2083.35,4224.58,60000,1
Project20,2019,3641.29,7023.07,866.73,6081.45,3830.49,7412.39,685.9,3848.94,4634.85,124.37,3187.49,11411.85,60000,1
Project21,2017,4142.27,1580.34,3473.94,2763.15,4916.84,3882.46,4762.86,2588.43,3413.09,5695.46,9193.55,3292.42,50000,1
Project21,2018,3338.55,2226.63,2854.57,3231.51,1888.69,2538.8,3582.43,2401.14,2471.81,4514.83,3059.58,3304.89,50000,1
Project21,2019,2025.84,2395.78,10228.14,1380.68,2383.01,2970.26,405.01,1805.27,2756.44,1492.08,1456.83,4110.78,50000,1
Project22,2017,0,0,123.61,0,0,0,767.85,1188.22,1219.22,5044.5,-415.99,737.19,10000,1
Project23,2017,1658.35,-255.24,-547.78,44.14,0,86,0,188.81,814.32,6272.69,-1296.65,2869.56,21000,1
Project23,2018,1975,6456.42,-2468.82,2880.71,1666.61,1663.96,3139.3,1423.26,2341.8,2340.7,1485,7985.97,21000,0
Project23,2019,4220.93,2956.5,1049.68,2063.69,1285.98,3150.53,-636.83,3880.8,2438.93,1544.77,1808.1,4792.4,21000,0
Project24,2017,3351.54,-391.04,436.76,473.42,-13.68,86,934.22,179.52,1215.84,5049.35,-72.23,2613.86,80000,1
Project24,2018,3643.43,13772.76,-4736.92,6713.84,3888.24,3886.74,9416,4839.48,6685.6,13290.75,12271.8,13068.97,80000,0
Project24,2019,6550.33,9390.3,5120.63,6830.09,4796.78,9950.58,-1891.38,13665.6,9013.3,5177.9,6307.2,8431.5,80000,0
Project25,2018,27974.75,22771.27,25034.96,34267.47,10221.72,19421.89,22322.96,14105.5,14663.74,24947.91,19566.96,23224.06,269000,1
Project25,2019,18411.89,23421.66,28056.15,20491.87,15487.13,30114.65,-4327.36,36314.3,28695.44,17584.56,19906.86,19991.86,269000,1
Project26,2017,17357.02,7045.49,4568.39,8032.89,8917.71,7195.97,10072.82,5016.61,6366.72,7290.71,4766.92,3256.08,28000,0
Project26,2018,0,0,5349.01,7199.29,2262.15,4007.21,5274.36,2942.36,4930.33,646.36,371.3,0,28000,0
Project26,2019,0,0,3270.56,2417.9,1031.05,3470.44,-617.2,5662.66,5035.78,2358.25,3193.28,3165.55,28000,0
Project27,2018,16387.2,22218.88,17992.14,25845,12682.04,18881.22,30430.21,8659.84,105803.39,45403.37,34209.62,47507.47,186000,0
Project27,2019,18329.04,30018.87,33565.16,38127.33,24532.3,30702.88,-2134.44,36402.43,16494.55,9496.4,10202.26,20676.66,186000,0
Project28,2018,11685.6,9868.01,8340.77,13023.03,7793.72,8013.51,11046.79,6177.97,29753.9,21751.88,10116.91,10667.23,145000,0
Project28,2019,6114.44,4643.1,22598.26,11774.49,9351.95,13724.46,-1297.45,24024.25,16173.48,10979.07,12561.24,13052.91,145000,1
Project29,2017,0,35973.57,5351.6,16065.42,1009.71,2857.63,25586.19,9945.05,18496.4,40717.26,-3077.71,25180.71,0,0
Project29,2018,3052.8,20547.99,662.98,19266.31,8071.91,11097.7,12843.78,8346.59,-7756.25,0,0,0,0,0
Project29,2019,0,2744.55,15006.9,17895.08,-424.47,2556.82,0,10768.71,0,0,0,0,0,0
Project30,2017,0,29499.96,43162.06,39215.53,130755,87773.19,78900.79,45917.81,36998.25,32952.79,62894.31,71025,112000,0
Project30,2018,70805.97,139918.92,537.17,96230.68,70544.89,33869.84,47275.74,23777.96,-66886.79,0,0,0,112000,0
Project30,2019,0,4048,0,0,0,0,0,0,0,0,0,0,112000,1
Project31,2019,24887.97,26012.85,28262.61,18863.57,22203.7,21420.04,18154.79,14889.54,21158.82,14889.54,13844.66,10318.19,120000,0
Project32,2017,0,22401.16,-1301.75,6302.88,8079.05,8823.58,11806.44,5560.88,6302.88,7489.99,4611.57,5601.04,80000,0
Project32,2018,7174.88,15242.65,8042.47,-2798.33,5813.57,239.7,370.17,6457.33,11001.8,18551.34,3429.99,4049.65,80000,1
Project32,2019,-1136.26,0,0,0,0,0,0,0,0,0,0,0,0,1
Project33,2017,0,2782.39,2387.71,2623.06,1220.4,518.4,518.4,3068.14,3073.28,3307.21,2099.31,3758.86,0,0
Project33,2019,0,0,0,0,0,0,0,0,26.65,0,2.43,0,0,0
Project34,2017,17561.3,9834.07,8377.56,9138.96,11631.18,9733.12,16174.5,7424.04,12454.64,16556.03,8282.3,8773.78,110000,0
Project34,2018,0,19832.8,8679.3,10580.2,7372.8,9338.7,9754.1,7247.77,8361.81,10835.2,6340.23,11428.34,110000,1
Project34,2019,8171.1,8573.7,11129.6,9401.43,8789.4,10626.6,8442.9,7813.8,11237.9,7097.4,7292,11059.4,110000,1
Project35,2017,5986.18,3478.61,3465.58,3552.53,2862.51,3030.34,5151.43,3286.64,3028.21,5007.98,4881.6,4581.6,56000,1
Project35,2018,0,8089.24,4943.2,6685.7,4561.04,4320.3,4986.7,4013.91,4373.7,5248.48,3996.5,6388.71,56000,0
Project35,2019,5282.83,4625.19,5920.97,4301,4519,5372.87,4354.2,4457.23,5437.6,3597.6,4076.9,4378.7,56000,0
Project36,2017,10210.8,28081.35,34937.43,23139.04,1498.4,2422.02,16634.97,6117.12,8078.74,21492.26,17712.7,1497.74,161000,0
Project36,2018,6593.6,72574.86,-12925.8,16394.81,14405.77,14994,24071.66,10193.19,9110.97,10934.61,10094.4,10539.36,161000,0
Project36,2019,12630.66,12623.16,25117.1,8052.05,4709.93,3568.17,-355.94,12790.5,19757.34,14333.59,10036.11,-4177.32,161000,1